070322|A50CHIN-C22|0.105|0.115|0.130|+0.025|+23.81|22,098
070324|A50CHIN-C24|0.645|0.630|0.630|-0.015|-2.33|200
070326|A50CHIN-C26|0.505|0.430|0.430|-0.075|-14.85|30
070328|A50CHIN-C28|0.200|0.205|0.215|+0.015|+7.50|19,581
070330|A50CHIN-C30|0.285|0.285|0.280|-0.005|-1.75|200,270
070332|A50CHIN-C32|0.780|0.000|0.000|0.000|0.00|0
070334|A50CHIN-C34|0.970|0.000|0.000|0.000|0.00|0
070336|A50CHIN-C36|0.455|0.465|0.475|+0.020|+4.40|5,628
070321|A50CHIN-H21|0.050|0.000|0.000|0.000|0.00|0
070323|A50CHIN-H23|0.005|0.000|0.000|0.000|0.00|0
070325|A50CHIN-H25|0.035|0.000|0.000|0.000|0.00|0
070327|A50CHIN-H27|0.115|0.110|0.090|-0.025|-21.74|4,927
7054|AASIA|0.145|0.000|0.000|0.000|0.00|0
5238|AAX|0.255|0.255|0.250|-0.005|-1.96|32,827
523820|AAX-C20|0.005|0.000|0.000|0.000|0.00|0
523821|AAX-C21|0.005|0.000|0.000|0.000|0.00|0
5238WA|AAX-WA|0.050|0.000|0.050|0.000|0.00|800
0800EA|ABFMY1|1.167|1.170|1.170|+0.003|+0.26|200
7086|ABLEGRP|0.075|0.075|0.075|0.000|0.00|750
2488|ABMB|4.140|4.150|4.120|-0.020|-0.48|22,040
2488CY|ABMB-CY|0.100|0.000|0.000|0.000|0.00|0
7131|ACME|0.250|0.000|0.000|0.000|0.00|0
7120|ACOSTEC|0.455|0.450|0.450|-0.005|-1.10|21,520
5281|ADVCON|0.390|0.400|0.400|+0.010|+2.56|58,693
7191|ADVENTA|0.385|0.355|0.355|-0.030|-7.79|356
9148|ADVPKG|1.900|0.000|0.000|0.000|0.00|0
7146|AEM|0.110|0.000|0.000|0.000|0.00|0
7146WA|AEM-WA|0.005|0.000|0.000|0.000|0.00|0
0181|AEMULUS|0.250|0.250|0.240|-0.010|-4.00|16,481
6599|AEON|1.600|1.600|1.560|-0.040|-2.50|6,876
6599CO|AEON-CO|0.055|0.050|0.050|-0.005|-9.09|100
6599CP|AEON-CP|0.050|0.000|0.000|0.000|0.00|0
6599CQ|AEON-CQ|0.030|0.000|0.000|0.000|0.00|0
5139|AEONCR|17.200|17.120|16.880|-0.320|-1.86|2,529
5139LA|AEONCR-LA|1.570|1.570|1.550|-0.020|-1.27|380
5185|AFFIN|2.270|2.260|2.260|-0.010|-0.44|823
5198|AFUJIYA|0.510|0.530|0.520|+0.010|+1.96|120
7315|AHB|0.135|0.135|0.130|-0.005|-3.70|1,170
7315WB|AHB-WB|0.005|0.005|0.005|0.000|0.00|1,030
7090|AHEALTH|9.390|9.420|9.360|-0.030|-0.32|112
4952|AHP|0.750|0.000|0.000|0.000|0.00|0
0122|AIM|0.280|0.000|0.000|0.000|0.00|0
5099|AIRASIA|2.750|2.760|2.770|+0.020|+0.73|68,880
509959|AIRASIAC59|0.025|0.000|0.000|0.000|0.00|0
509967|AIRASIAC67|0.085|0.090|0.090|+0.005|+5.88|11,294
509968|AIRASIAC68|0.005|0.000|0.000|0.000|0.00|0
509969|AIRASIAC69|0.035|0.000|0.000|0.000|0.00|0
509970|AIRASIAC70|0.020|0.000|0.000|0.000|0.00|0
509971|AIRASIAC71|0.085|0.085|0.085|0.000|0.00|2,750
509972|AIRASIAC72|0.195|0.200|0.200|+0.005|+2.56|200
509973|AIRASIAC73|0.220|0.210|0.210|-0.010|-4.55|700
509974|AIRASIAC74|0.310|0.000|0.000|0.000|0.00|0
509975|AIRASIAC75|0.140|0.000|0.000|0.000|0.00|0
509976|AIRASIAC76|0.080|0.065|0.065|-0.015|-18.75|6,000
509977|AIRASIAC77|0.085|0.085|0.090|+0.005|+5.88|49,550
509978|AIRASIAC78|0.100|0.100|0.105|+0.005|+5.00|14,004
509979|AIRASIAC79|0.050|0.050|0.050|0.000|0.00|2,000
509980|AIRASIAC80|0.055|0.000|0.000|0.000|0.00|0
5014|AIRPORT|7.750|7.700|7.660|-0.090|-1.16|15,797
5014C2|AIRPORT-C2|0.025|0.000|0.000|0.000|0.00|0
5014C3|AIRPORT-C3|0.035|0.000|0.000|0.000|0.00|0
5014C4|AIRPORT-C4|0.045|0.000|0.000|0.000|0.00|0
5014C5|AIRPORT-C5|0.060|0.000|0.000|0.000|0.00|0
5014C6|AIRPORT-C6|0.160|0.000|0.000|0.000|0.00|0
5014C7|AIRPORT-C7|0.095|0.000|0.000|0.000|0.00|0
2682|AISB|0.260|0.000|0.000|0.000|0.00|0
2658|AJI|18.600|18.600|18.500|-0.100|-0.54|243
7609|AJIYA|0.525|0.530|0.535|+0.010|+1.90|281
7609WA|AJIYA-WA|0.095|0.000|0.000|0.000|0.00|0
5115|ALAM|0.115|0.115|0.110|-0.005|-4.35|155,495
5116|ALAQAR|1.350|1.370|1.370|+0.020|+1.48|70
2674|ALCOM|0.520|0.520|0.520|0.000|0.00|593
1163|ALLIANZ|14.340|14.320|14.260|-0.080|-0.56|1,086
1163PA|ALLIANZ-PA|14.300|0.000|0.000|0.000|0.00|0
5269|ALSREIT|0.825|0.825|0.850|+0.025|+3.03|1,531
1015|AMBANK|4.500|4.500|4.460|-0.040|-0.89|19,373
101510|AMBANK-C10|0.170|0.000|0.000|0.000|0.00|0
101511|AMBANK-C11|0.180|0.000|0.000|0.000|0.00|0
101512|AMBANK-C12|0.135|0.000|0.000|0.000|0.00|0
101513|AMBANK-C13|0.095|0.000|0.000|0.000|0.00|0
0159|AMEDIA|0.165|0.165|0.165|0.000|0.00|10
5120|AMFIRST|0.530|0.530|0.530|0.000|0.00|1,011
03011|AMLEX|0.180|0.000|0.000|0.000|0.00|0
1007|AMPROP|0.520|0.520|0.520|0.000|0.00|605
1007PA|AMPROP-PA|0.250|0.245|0.245|-0.005|-2.00|200
1007PB|AMPROP-PB|0.580|0.000|0.000|0.000|0.00|0
7051|AMTEK|0.370|0.300|0.120|-0.250|-67.57|7,560
7031|AMTEL|0.665|0.665|0.665|0.000|0.00|35
5959|AMVERTON|1.020|0.000|0.000|0.000|0.00|0
6351|AMWAY|6.140|6.140|6.140|0.000|0.00|299
7083|ANALABS|1.200|1.200|1.200|0.000|0.00|1
4758|ANCOM|0.490|0.480|0.490|0.000|0.00|2,718
0048|ANCOMLB|0.095|0.085|0.085|-0.010|-10.53|476
6556|ANNJOO|1.600|1.620|1.580|-0.020|-1.25|18,464
6556PA|ANNJOO-PA|0.550|0.500|0.500|-0.050|-9.09|141
9342|ANZO|0.035|0.040|0.040|+0.005|+14.29|21,580
9342WA|ANZO-WA|0.005|0.000|0.000|0.000|0.00|0
9342WB|ANZO-WB|0.025|0.000|0.000|0.000|0.00|0
9342WC|ANZO-WC|0.005|0.000|0.000|0.000|0.00|0
5568|APB|0.730|0.000|0.000|0.000|0.00|0
5088|APEX|1.020|1.010|1.010|-0.010|-0.98|45
5194|APFT|0.020|0.020|0.020|0.000|0.00|650
5015|APM|3.100|3.100|3.100|0.000|0.00|47
6432|APOLLO|3.890|3.900|3.850|-0.040|-1.03|61
0119|APPASIA|0.085|0.085|0.085|0.000|0.00|602
0119WA|APPASIA-WA|0.035|0.000|0.000|0.000|0.00|0
7214|ARANK|0.520|0.520|0.515|-0.005|-0.96|425
7007|ARK|0.500|0.000|0.000|0.000|0.00|0
7007WB|ARK-WB|0.090|0.000|0.000|0.000|0.00|0
5210|ARMADA|0.165|0.165|0.165|0.000|0.00|375,903
521040|ARMADA-C40|0.005|0.000|0.000|0.000|0.00|0
521043|ARMADA-C43|0.005|0.000|0.000|0.000|0.00|0
521045|ARMADA-C45|0.005|0.000|0.000|0.000|0.00|0
521046|ARMADA-C46|0.005|0.000|0.000|0.000|0.00|0
