101513|AMBANK-C13|0.095|0.000|0.000|0.000|0.00|0
0159|AMEDIA|0.165|0.165|0.165|0.000|0.00|1,320
5120|AMFIRST|0.530|0.530|0.530|0.000|0.00|349
03011|AMLEX|0.180|0.000|0.000|0.000|0.00|0
1007|AMPROP|0.520|0.515|0.510|-0.010|-1.92|630
1007PA|AMPROP-PA|0.245|0.250|0.245|0.000|0.00|47
1007PB|AMPROP-PB|0.580|0.000|0.000|0.000|0.00|0
7051|AMTEK|0.120|0.105|0.115|-0.005|-4.17|2,207
7031|AMTEL|0.665|0.000|0.000|0.000|0.00|0
5959|AMVERTON|1.020|1.010|1.000|-0.020|-1.96|73
6351|AMWAY|6.140|6.160|6.140|0.000|0.00|244
7083|ANALABS|1.200|0.000|0.000|0.000|0.00|0
4758|ANCOM|0.490|0.490|0.480|-0.010|-2.04|622
0048|ANCOMLB|0.085|0.085|0.080|-0.005|-5.88|3,658
6556|ANNJOO|1.580|1.580|1.580|0.000|0.00|4,872
6556PA|ANNJOO-PA|0.500|0.510|0.510|+0.010|+2.00|100
9342|ANZO|0.040|0.035|0.035|-0.005|-12.50|2,970
9342WA|ANZO-WA|0.005|0.000|0.000|0.000|0.00|0
9342WB|ANZO-WB|0.025|0.000|0.000|0.000|0.00|0
9342WC|ANZO-WC|0.005|0.000|0.000|0.000|0.00|0
5568|APB|0.730|0.000|0.000|0.000|0.00|0
5088|APEX|1.010|0.990|0.990|-0.020|-1.98|50
5194|APFT|0.020|0.020|0.015|-0.005|-25.00|8,765
5015|APM|3.100|3.100|3.100|0.000|0.00|50
6432|APOLLO|3.850|3.860|3.860|+0.010|+0.26|10
0119|APPASIA|0.085|0.085|0.090|+0.005|+5.88|281
0119WA|APPASIA-WA|0.035|0.035|0.035|0.000|0.00|9,200
7214|ARANK|0.515|0.515|0.520|+0.005|+0.97|623
7007|ARK|0.500|0.000|0.000|0.000|0.00|0
7007WB|ARK-WB|0.090|0.000|0.000|0.000|0.00|0
5210|ARMADA|0.165|0.165|0.190|+0.025|+15.15|1,914,827
521040|ARMADA-C40|0.005|0.000|0.000|0.000|0.00|0
521043|ARMADA-C43|0.005|0.000|0.000|0.000|0.00|0
521045|ARMADA-C45|0.005|0.000|0.000|0.000|0.00|0
521046|ARMADA-C46|0.005|0.000|0.000|0.000|0.00|0
521047|ARMADA-C47|0.005|0.000|0.000|0.000|0.00|0
521048|ARMADA-C48|0.005|0.000|0.000|0.000|0.00|0
521049|ARMADA-C49|0.005|0.005|0.005|0.000|0.00|30,000
521050|ARMADA-C50|0.015|0.000|0.000|0.000|0.00|0
5127|ARREIT|0.850|0.850|0.850|0.000|0.00|907
1481|ASB|0.130|0.130|0.125|-0.005|-3.85|10,557
0068|ASDION|0.260|0.260|0.275|+0.015|+5.77|40,812
0068WB|ASDION-WB|0.005|0.000|0.000|0.000|0.00|0
7722|ASIABRN|0.490|0.000|0.000|0.000|0.00|0
7129|ASIAFLE|2.550|2.550|2.550|0.000|0.00|50
4057|ASIAPAC|0.115|0.115|0.115|0.000|0.00|3,685
4057LC|ASIAPAC-LC|0.600|0.000|0.000|0.000|0.00|0
4057WB|ASIAPAC-WB|0.055|0.000|0.000|0.000|0.00|0
0105|ASIAPLY|0.080|0.075|0.080|0.000|0.00|10,001
0105PA|ASIAPLY-PA|0.035|0.000|0.000|0.000|0.00|0
0105WA|ASIAPLY-WA|0.020|0.015|0.015|-0.005|-25.00|229
0105WB|ASIAPLY-WB|0.025|0.025|0.025|0.000|0.00|18
7162|ASTINO|0.650|0.650|0.650|0.000|0.00|4
6399|ASTRO|1.590|1.580|1.540|-0.050|-3.14|21,766
639910|ASTRO-C10|0.125|0.120|0.120|-0.005|-4.00|4,000
639911|ASTRO-C11|0.110|0.000|0.000|0.000|0.00|0
639912|ASTRO-C12|0.095|0.090|0.090|-0.005|-5.26|800
639913|ASTRO-C13|0.090|0.000|0.000|0.000|0.00|0
639914|ASTRO-C14|0.080|0.000|0.000|0.000|0.00|0
0072|AT|0.050|0.050|0.050|0.000|0.00|972
0072WB|AT-WB|0.005|0.000|0.000|0.000|0.00|0
8176|ATAIMS|1.730|1.720|1.700|-0.030|-1.73|3,256
7048|ATLAN|4.380|4.300|4.380|0.000|0.00|27
5130|ATRIUM|1.110|1.120|1.120|+0.010|+0.90|1,750
7099|ATTA|0.690|0.680|0.655|-0.035|-5.07|280
7099LA|ATTA-LA|0.085|0.080|0.085|0.000|0.00|1,819
7099PA|ATTA-PA|0.145|0.135|0.130|-0.015|-10.34|1,000
7099WB|ATTA-WB|0.090|0.000|0.000|0.000|0.00|0
7099WC|ATTA-WC|0.095|0.000|0.000|0.000|0.00|0
7181|ATURMJU|0.385|0.395|0.380|-0.005|-1.30|54,493
7181PA|ATURMJU-PA|0.130|0.125|0.130|0.000|0.00|43,400
8885|AVI|0.240|0.235|0.240|0.000|0.00|260
7579|AWC|0.760|0.755|0.785|+0.025|+3.29|36,056
7579WA|AWC-WA|0.205|0.200|0.250|+0.045|+21.95|32,356
6888|AXIATA|4.080|4.040|4.060|-0.020|-0.49|31,200
688828|AXIATA-C28|0.020|0.000|0.000|0.000|0.00|0
688829|AXIATA-C29|0.005|0.000|0.000|0.000|0.00|0
688830|AXIATA-C30|0.040|0.000|0.000|0.000|0.00|0
688831|AXIATA-C31|0.040|0.000|0.000|0.000|0.00|0
688832|AXIATA-C32|0.110|0.000|0.000|0.000|0.00|0
688833|AXIATA-C33|0.165|0.160|0.160|-0.005|-3.03|300
688834|AXIATA-C34|0.165|0.165|0.160|-0.005|-3.03|4
688835|AXIATA-C35|0.155|0.000|0.000|0.000|0.00|0
688836|AXIATA-C36|0.175|0.175|0.175|0.000|0.00|1,999
688837|AXIATA-C37|0.075|0.000|0.000|0.000|0.00|0
5106|AXREIT|1.740|1.750|1.730|-0.010|-0.57|1,640
2305|AYER|4.500|0.000|0.000|0.000|0.00|0
5021|AYS|0.340|0.340|0.345|+0.005|+1.47|738
7078|AZRB|0.470|0.470|0.475|+0.005|+1.06|21,800
7078WA|AZRB-WA|0.215|0.200|0.210|-0.005|-2.33|3,049
0098|BAHVEST|0.660|0.665|0.670|+0.010|+1.52|61,710
0098WA|BAHVEST-WA|0.395|0.405|0.400|+0.005|+1.27|18,016
7251|BARAKAH|0.100|0.105|0.105|+0.005|+5.00|172,307
4162|BAT|33.880|33.520|34.480|+0.600|+1.77|3,576
4162CM|BAT-CM|0.065|0.065|0.070|+0.005|+7.69|1,988
4162CN|BAT-CN|0.130|0.000|0.000|0.000|0.00|0
4162CO|BAT-CO|0.070|0.070|0.075|+0.005|+7.14|16
5248|BAUTO|2.200|2.230|2.220|+0.020|+0.91|23,146
5248C1|BAUTO-C1|0.070|0.065|0.065|-0.005|-7.14|3,302
5248CY|BAUTO-CY|0.125|0.115|0.115|-0.010|-8.00|1,000
5248CZ|BAUTO-CZ|0.170|0.175|0.170|0.000|0.00|977
6602|BCB|0.280|0.280|0.280|0.000|0.00|1,442
0187|BCMALL|0.195|0.195|0.195|0.000|0.00|8,600
6173|BDB|0.340|0.340|0.345|+0.005|+1.47|126
5190|BENALEC|0.195|0.185|0.190|-0.005|-2.56|6,922
9814|BERTAM|0.280|0.000|0.000|0.000|0.00|0
8133|BHIC|1.270|1.250|1.240|-0.030|-2.36|132
7005|BIG|0.430|0.440|0.450|+0.020|+4.65|1,918
5258|BIMB|4.220|4.220|4.200|-0.020|-0.47|27,611
5258WA|BIMB-WA|0.240|0.235|0.245|+0.005|+2.08|9,568
0195|BINACOM|0.400|0.400|0.400|0.000|0.00|4,326
6998|BINTAI|0.135|0.130|0.130|-0.005|-3.70|1,820
6998WA|BINTAI-WA|0.050|0.000|0.000|0.000|0.00|0
0179|BIOHLDG|0.200|0.205|0.200|0.000|0.00|4,333
0179WA|BIOHLDG-WA|0.080|0.080|0.085|+0.005|+6.25|3,000
7243|BIOOSMO|0.055|0.055|0.055|0.000|0.00|20,413
5032|BIPORT|4.600|4.600|4.620|+0.020|+0.43|140
3239|BJASSET|0.315|0.310|0.315|0.000|0.00|8,335
3239WB|BJASSET-WB|0.065|0.060|0.065|0.000|0.00|560
3395|BJCORP|0.270|0.275|0.270|0.000|0.00|132,163
339510|BJCORP-C10|0.010|0.000|0.000|0.000|0.00|0
339511|BJCORP-C11|0.025|0.000|0.000|0.000|0.00|0
3395LD|BJCORP-LD|0.345|0.000|0.000|0.000|0.00|0
3395LE|BJCORP-LE|0.385|0.000|0.000|0.000|0.00|0
3395WB|BJCORP-WB|0.045|0.045|0.045|0.000|0.00|5,054
3395WC|BJCORP-WC|0.075|0.075|0.070|-0.005|-6.67|6,055
5196|BJFOOD|1.500|1.500|1.490|-0.010|-0.67|5,055
4219|BJLAND|0.275|0.275|0.280|+0.005|+1.82|5,358
6025|BJMEDIA|0.175|0.000|0.000|0.000|0.00|0
1562|BJTOTO|2.330|2.330|2.290|-0.040|-1.72|29,393
1562CW|BJTOTO-CW|0.065|0.060|0.060|-0.005|-7.69|12,100
1562CX|BJTOTO-CX|0.095|0.090|0.080|-0.015|-15.79|6
1899|BKAWAN|17.180|17.200|17.200|+0.020|+0.12|40
5069|BLDPLNT|6.960|0.000|0.000|0.000|0.00|0
0508C5|BOC-C5|0.100|0.130|0.130|+0.030|+30.00|32,000
0168|BOILERM|0.545|0.550|0.550|+0.005|+0.92|469
9288|BONIA|0.255|0.250|0.255|0.000|0.00|791
7036|BORNOIL|0.045|0.040|0.045|0.000|0.00|77,650
7036WC|BORNOIL-WC|0.020|0.015|0.020|0.000|0.00|1,360
7036WD|BORNOIL-WD|0.020|0.015|0.020|0.000|0.00|4,798
6297|BOXPAK|1.090|1.090|1.090|0.000|0.00|199
6297WA|BOXPAK-WA|0.175|0.000|0.000|0.000|0.00|0
5254|BPLANT|0.795|0.795|0.800|+0.005|+0.63|1,472
5100|BPPLAS|1.140|1.140|1.160|+0.020|+1.75|5,872
5932|BPURI|0.185|0.185|0.185|0.000|0.00|39,349
9474|BRAHIMS|0.140|0.140|0.185|+0.045|+32.14|320,867
8761|BREM|0.750|0.750|0.750|0.000|0.00|1,000
9938|BRIGHT|0.180|0.180|0.185|+0.005|+2.78|936
7221|BSLCORP|0.335|0.330|0.315|-0.020|-5.97|345
2771|BSTEAD|1.320|1.330|1.350|+0.030|+2.27|461
0011|BTECH|0.300|0.295|0.315|+0.015|+5.00|7,613
7188|BTM|0.120|0.105|0.115|-0.005|-4.17|768
7188WA|BTM-WA|0.015|0.010|0.015|0.000|0.00|1,962
7188WB|BTM-WB|0.040|0.000|0.000|0.000|0.00|0
1818|BURSA|6.980|7.000|6.900|-0.080|-1.15|11,331
181820|BURSA-C20|0.005|0.000|0.000|0.000|0.00|0
181821|BURSA-C21|0.085|0.080|0.075|-0.010|-11.76|2
181822|BURSA-C22|0.060|0.000|0.000|0.000|0.00|0
181823|BURSA-C23|0.050|0.055|0.045|-0.005|-10.00|3,993
7174|CAB|0.585|0.590|0.600|+0.015|+2.56|1,509
7174WA|CAB-WA|0.400|0.405|0.405|+0.005|+1.25|40
0191|CABNET|0.310|0.310|0.310|0.000|0.00|1,497
0191WA|CABNET-WA|0.055|0.000|0.000|0.000|0.00|0
7154|CAELY|0.950|0.000|0.000|0.000|0.00|0
7154WA|CAELY-WA|0.555|0.560|0.555|0.000|0.00|152
7128|CAMRES|0.250|0.000|0.000|0.000|0.00|0
5105|CANONE|2.760|2.760|2.770|+0.010|+0.36|4,867
5229|CAP|0.010|0.000|0.000|0.000|0.00|0
0163|CAREPLS|0.170|0.170|0.165|-0.005|-2.94|2,170
5257|CARIMIN|0.775|0.785|0.800|+0.025|+3.23|89,385
5245|CARING|1.940|1.940|1.960|+0.020|+1.03|350
2836|CARLSBG|25.740|25.600|25.800|+0.060|+0.23|2,726
7076|CBIP|1.050|1.060|1.050|0.000|0.00|751
7076WA|CBIP-WA|0.010|0.010|0.015|+0.005|+50.00|4,079
2925|CCB|1.540|1.580|1.580|+0.040|+2.60|10
7035|CCK|0.620|0.625|0.625|+0.005|+0.81|15,638
7035WA|CCK-WA|0.120|0.125|0.120|0.000|0.00|6,206
2879|CCM|1.980|1.980|1.980|0.000|0.00|171
5195|CENSOF|0.145|0.145|0.145|0.000|0.00|2,630
5195WB|CENSOF-WB|0.005|0.005|0.005|0.000|0.00|16,010
8982|CEPAT|0.600|0.590|0.600|0.000|0.00|160
8435|CEPCO|0.630|0.000|0.000|0.000|0.00|0
8044|CFM|1.350|0.000|0.000|0.000|0.00|0
0579C1|CGARDEN-C1|0.100|0.110|0.110|+0.010|+10.00|27,000
7209|CHEETAH|0.310|0.000|0.000|0.000|0.00|0
7187|CHGP|0.350|0.350|0.350|0.000|0.00|70
7187WA|CHGP-WA|0.175|0.000|0.000|0.000|0.00|0
5738|CHHB|1.480|1.490|1.490|+0.010|+0.68|231
5738WB|CHHB-WB|0.410|0.000|0.000|0.000|0.00|0
0829EA|CHINAETF-MYR|5.630|5.670|5.750|+0.120|+2.13|354
0829EB|CHINAETF-USD|1.275|0.000|0.000|0.000|0.00|0
5273|CHINHIN|0.800|0.800|0.800|0.000|0.00|5,264
1929|CHINTEK|6.800|6.800|6.520|-0.280|-4.12|10
5007|CHINWEL|1.800|1.800|1.800|0.000|0.00|510
0501CG|CHMOBIL-CG|0.145|0.170|0.175|+0.030|+20.69|10,740
5797|CHOOBEE|1.600|1.600|1.620|+0.020|+1.25|30
7016|CHUAN|0.395|0.395|0.395|0.000|0.00|270
8052|CICB|0.590|0.000|0.000|0.000|0.00|0
2828|CIHLDG|1.450|0.000|0.000|0.000|0.00|0
1023|CIMB|5.280|5.300|5.370|+0.090|+1.70|142,256
102340|CIMB-C40|0.025|0.000|0.000|0.000|0.00|0
102341|CIMB-C41|0.075|0.000|0.000|0.000|0.00|0
102342|CIMB-C42|0.050|0.000|0.000|0.000|0.00|0
102343|CIMB-C43|0.025|0.000|0.000|0.000|0.00|0
102344|CIMB-C44|0.035|0.035|0.035|0.000|0.00|6,000
102345|CIMB-C45|0.065|0.065|0.065|0.000|0.00|15,920
102346|CIMB-C46|0.085|0.075|0.075|-0.010|-11.76|9,998
102347|CIMB-C47|0.075|0.000|0.000|0.000|0.00|0
0822EA|CIMBA40|1.870|1.865|1.865|-0.005|-0.27|2
0823EA|CIMBC50|1.585|1.600|1.610|+0.025|+1.58|350
7117|CJCEN|0.450|0.445|0.445|-0.005|-1.11|4,315
0514C3|CKHUTCH-C3|0.075|0.000|0.000|0.000|0.00|0
03001|CLOUD|0.300|0.000|0.000|0.000|0.00|0
7018|CME|0.040|0.000|0.000|0.000|0.00|0
7018LA|CME-LA|0.020|0.000|0.000|0.000|0.00|0
7018WA|CME-WA|0.025|0.000|0.000|0.000|0.00|0
5180|CMMT|1.120|1.120|1.120|0.000|0.00|6,613
2852|CMSB|3.260|3.300|3.330|+0.070|+2.15|12,078
285214|CMSB-C14|0.085|0.000|0.000|0.000|0.00|0
285215|CMSB-C15|0.120|0.120|0.125|+0.005|+4.17|3,941
7986|CNASIA|0.435|0.000|0.000|0.000|0.00|0
