ID,Code,Headline,Source,Date,URL
TheEdge2019030110515288,5288,Sime Darby Property expects to return to profit in 1QFY19,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497382/sime-darby-property-expects-to-return-to-profit-in-1qfy19
TheEdge2019030110557207,7207,"Malaysia’s 5G focus aims to improve lives, lift industries",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497390/malaysia-s-5g-focus-aims-to-improve-lives-lift-industries
TheEdge2019030110572488,2488,Alliance Bank 3Q profit up 21.5%,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497422/alliance-bank-3q-profit-up-21-5
TheEdge2019030111021619,1619,Improved Proton sales lift DRB-Hicom 3Q profit,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497424/improved-proton-sales-lift-drb-hicom-3q-profit
TheEdge2019030111031171,1171,MBSB 4Q net profit down 4.86% on lower impairment charges,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497426/mbsb-4q-net-profit-down-4-86-on-lower-impairment-charges
TheEdge2019030111055054,5054,TRC Synergy’s PPA1M project axed due to ‘national interest’,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497392/trc-synergy-s-ppa1m-project-axed-due-to-national-interest
TheEdge2019030111069466,9466,KKB Engineering bags RM110.8m water supply contracts in Sarawak,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497394/kkb-engineering-bags-rm110-8m-water-supply-contracts-in-sarawak
TheEdge2019030111115983,5983,MBM Resources 4Q above estimates on tax holiday,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497402/mbm-resources-4q-above-estimates-on-tax-holiday
TheEdge2019030111118583,8583,Mah Sing seen in strong position to expand land bank,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497400/mah-sing-seen-in-strong-position-to-expand-land-bank
TheEdge2019030111135279,5279,"Good O&M, EPCC prospects expected for Serba Dinamik",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497404/good-o-m-epcc-prospects-expected-for-serba-dinamik
TheEdge2019030111138869,8869,Press Metal’s outlook deemed positive,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497406/press-metal-s-outlook-deemed-positive
TheEdge2019030111142828,2828,CI Holdings 1H weighed down by lower olein price,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497408/ci-holdings-1h-weighed-down-by-lower-olein-price
TheEdge2019030111157052,7052,Stable earnings expected for Padini’s upcoming quarters,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497410/stable-earnings-expected-for-padini-s-upcoming-quarters
TheEdge2019030111186068,6068,Stock With Momentum: PCCS Group,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497412/stock-with-momentum-pccs-group
TheEdge2019030111197206,7206,Stock With Momentum: TH Heavy Engineering,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497414/stock-with-momentum-th-heavy-engineering
TheEdge2019030111220171,0171,Stock With Momentum: PeterLabs Holdings,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497416/stock-with-momentum-peterlabs-holdings
TheEdge2019030112282771,2771,Mindef on Boustead hotel sale: Najib should focus on corruption cases,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497480/mindef-on-boustead-hotel-sale-najib-should-focus-on-corruption-cases
TheEdge2019030113110023,0023,"KLCI falls 0.53%, remains below 1,700 level as heavyweights drag",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497516/klci-falls-0-53-remains-below-1-700-level-as-heavyweights-drag
TheEdge2019030113115011,5011,"KLCI falls 0.53%, remains below 1,700 level as heavyweights drag",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497516/klci-falls-0-53-remains-below-1-700-level-as-heavyweights-drag
TheEdge2019030113115139,5139,"KLCI falls 0.53%, remains below 1,700 level as heavyweights drag",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497516/klci-falls-0-53-remains-below-1-700-level-as-heavyweights-drag
TheEdge2019030113116459,6459,"KLCI falls 0.53%, remains below 1,700 level as heavyweights drag",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497516/klci-falls-0-53-remains-below-1-700-level-as-heavyweights-drag
TheEdge2019030113117081,7081,"KLCI falls 0.53%, remains below 1,700 level as heavyweights drag",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497516/klci-falls-0-53-remains-below-1-700-level-as-heavyweights-drag
TheEdge2019030113117090,7090,"KLCI falls 0.53%, remains below 1,700 level as heavyweights drag",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497516/klci-falls-0-53-remains-below-1-700-level-as-heavyweights-drag
TheEdge2019030113119474,9474,"KLCI falls 0.53%, remains below 1,700 level as heavyweights drag",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497516/klci-falls-0-53-remains-below-1-700-level-as-heavyweights-drag
TheEdge2019030114003034,3034,More restructuring ahead as conglomerates deal with disruption,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497538/more-restructuring-ahead-as-conglomerates-deal-with-disruption
TheEdge2019030114100023,0023,"IFCAMSC, MAA, Penergy, YOCB, GDEx, Mikromb, KAB, Naim, BPPlas",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497542/ifcamsc-maa-penergy-yocb-gdex-mikromb-kab-naim-bpplas
TheEdge2019030114100078,0078,"IFCAMSC, MAA, Penergy, YOCB, GDEx, Mikromb, KAB, Naim, BPPlas",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497542/ifcamsc-maa-penergy-yocb-gdex-mikromb-kab-naim-bpplas
TheEdge2019030114100112,0112,"IFCAMSC, MAA, Penergy, YOCB, GDEx, Mikromb, KAB, Naim, BPPlas",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497542/ifcamsc-maa-penergy-yocb-gdex-mikromb-kab-naim-bpplas
TheEdge2019030114100193,0193,"IFCAMSC, MAA, Penergy, YOCB, GDEx, Mikromb, KAB, Naim, BPPlas",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497542/ifcamsc-maa-penergy-yocb-gdex-mikromb-kab-naim-bpplas
TheEdge2019030114101198,1198,"IFCAMSC, MAA, Penergy, YOCB, GDEx, Mikromb, KAB, Naim, BPPlas",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497542/ifcamsc-maa-penergy-yocb-gdex-mikromb-kab-naim-bpplas
TheEdge2019030114105100,5100,"IFCAMSC, MAA, Penergy, YOCB, GDEx, Mikromb, KAB, Naim, BPPlas",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497542/ifcamsc-maa-penergy-yocb-gdex-mikromb-kab-naim-bpplas
TheEdge2019030114105133,5133,"IFCAMSC, MAA, Penergy, YOCB, GDEx, Mikromb, KAB, Naim, BPPlas",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497542/ifcamsc-maa-penergy-yocb-gdex-mikromb-kab-naim-bpplas
TheEdge2019030114105159,5159,"IFCAMSC, MAA, Penergy, YOCB, GDEx, Mikromb, KAB, Naim, BPPlas",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497542/ifcamsc-maa-penergy-yocb-gdex-mikromb-kab-naim-bpplas
TheEdge2019030115000116,0116,Politics and Policy: Deliver or be dumped,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497550/politics-and-policy-deliver-or-be-dumped
TheEdge2019030115296459,6459,"Bursa suspends MNRBs PDT, IDSS",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497558/bursa-suspends-mnrb-s-pdt-idss
TheEdge2019030118066459,6459,KLCI dips 1.2% this week on concerns over sluggish corporate earnings,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497644/klci-dips-1-2-this-week-on-concerns-over-sluggish-corporate-earnings
TheEdge2019030118465121,5121,Hektar REIT up after group declares 2.31 sen final dividend,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497670/hektar-reit-up-after-group-declares-2-31-sen-final-dividend
TheEdge2019030119301651,1651,RAM believes Government will strike balance between toll-abolition and implications of debt market,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497688/ram-believes-government-will-strike-balance-between-toll-abolition-and-implications-of-debt-market
